書名,作者,出版社,出版日期,ISBN,是否有電子書,URL
納瓦爾寶典珍藏版：從白手起家到財務自由，矽谷傳奇創投家的投資哲學與人生智慧,Eric Jorgenson,天下雜誌 訂閱出版社新書快訊 新功能介紹,2025/02/05,9789863989493,有電子書,https://www.books.com.tw/products/0011012422
日花閃爍：台語的美麗詞彙&一百首詩,,時報出版 訂閱出版社新書快訊 新功能介紹,2026/01/06,9786264199926,有電子書,https://www.books.com.tw/products/0011039851
Rewire-神經可塑性：用神經科學突破行為模式迴圈，終結焦慮、恐慌和憂鬱，實現最佳的心理健康,,麥田 訂閱出版社新書快訊 新功能介紹,2024/06/01,9786263106659,有電子書,https://www.books.com.tw/products/0010990062
少年臺灣史 二○一九年增訂版,周婉窈,玉山社 訂閱出版社新書快訊 新功能介紹,2019/09/20,9789862942420,有電子書,https://www.books.com.tw/products/0010834309
世界盡頭的咖啡館：這一生，我為何而存在？（全球每19秒售出1本！療癒千萬人的暢銷經典，定位人生的神奇之書）,,三采 訂閱出版社新書快訊 新功能介紹,2025/02/27,9786263585959,有電子書,https://www.books.com.tw/products/0011014199
SPY×FAMILY 間諜家家酒 (首刷限定版) 16,遠藤 達哉,東立 訂閱出版社新書快訊 新功能介紹,2026/02/12,9786260267070,無電子書,https://www.books.com.tw/products/0011042311
在小山和小山之間：故事大爆炸年度首獎之作,,悅知文化 訂閱出版社新書快訊 新功能介紹,2026/01/26,9786267721834,有電子書,https://www.books.com.tw/products/0011042972
最新！新制多益TOEIC聽力／閱讀題庫解析【博客來獨家套書】：最新收錄精準 10 回模擬試題！完整反映命題趨勢、大幅提升應考能力！（附2 MP3光碟＋音檔下載QR碼）,Hackers Academia,國際學村 訂閱出版社新書快訊 新功能介紹,2024/07/24,,無電子書,https://www.books.com.tw/products/0010994781
老師不敢教的國學常識：課本外的文壇八卦、黑暗朝堂、追愛火葬場……把古人剝光光，一探赤裸裸的人性真相！,,麥田 訂閱出版社新書快訊 新功能介紹,2026/02/26,9786267813492,有電子書,https://www.books.com.tw/products/0011045496
冠軍之路：2024世界棒球12強賽感動全紀錄【聯名電影書】,曾文誠,遠流 訂閱出版社新書快訊 新功能介紹,2026/01/29,9786264185295,有電子書,https://www.books.com.tw/products/0011042760
主角模式：從「我得這樣」到「我可以選擇」，影響7500萬人的成長祕密,,金尉 訂閱出版社新書快訊 新功能介紹,2026/01/08,9786267549438,有電子書,https://www.books.com.tw/products/0011038878
難以承受的悸動是戀愛嗎？ 4,空華みあ,台灣東販 訂閱出版社新書快訊 新功能介紹,2026/02/25,9786264373777,無電子書,https://www.books.com.tw/products/0011045870
薰香花朵凛然綻放 (首刷限定版) 16,三香見SAKA,東立 訂閱出版社新書快訊 新功能介紹,2026/03/02,9786260268589,無電子書,https://www.books.com.tw/products/0011044665
