書名,作者,出版社,出版日期,ISBN/EAN,商品網址,是否有電子書
北歐時間：世界第一幸福國度教會我的事,日暮Inko,幸福文化,2025/10/29,9786267680490,https://www.books.com.tw/products/0011035285,有電子書
納瓦爾寶典珍藏版：從白手起家到財務自由，矽谷傳奇創投家的投資哲學與人生智慧,艾瑞克．喬根森,天下雜誌,2025/02/05,,https://www.books.com.tw/products/0011012422,有電子書
Rewire-神經可塑性：用神經科學突破行為模式迴圈,妮可．維諾拉,麥田,2024/06/01,9786263106659,https://www.books.com.tw/products/0010990062,有電子書
會員登入,,,,,https://www.books.com.tw/products/0011045042,無電子書
在小山和小山之間：故事大爆炸年度首獎之作,李停,悅知文化,2026/01/26,9786267721834,https://www.books.com.tw/products/0011042972,有電子書
祕密中的祕密,丹．布朗,時報出版,2026/03/31,9786264443258,https://www.books.com.tw/products/0011046959,無電子書
少年臺灣史 二○一九年增訂版,周婉窈,玉山社,2019/09/20,9789862942420,https://www.books.com.tw/products/0010834309,有電子書
會員登入,,,,,https://www.books.com.tw/products/0011046164,無電子書
原子習慣WORKBOOK【實踐本‧附練習別冊】,詹姆斯‧克利爾,方智,2026/03/05,9789861758824,https://www.books.com.tw/products/0011045903,有電子書
薰香花朵凛然綻放 (首刷限定版) 16,三香見SAKA,東立,2026/03/02,9786260268589,https://www.books.com.tw/products/0011044665,無電子書
日花閃爍：台語的美麗詞彙&一百首詩,温若喬,時報出版,2026/01/06,9786264199926,https://www.books.com.tw/products/0011039851,有電子書
會員登入,,,,,https://www.books.com.tw/products/0011046635,無電子書
世界盡頭的咖啡館：這一生，我為何而存在？（全球每19秒售出1本！療癒千萬人的暢銷經典，定位人生的神奇之書）,約翰‧史崔勒基,三采,2025/02/27,,https://www.books.com.tw/products/0011014199,有電子書
億元肥羊零成本買股術：勝率 100%！我靠借錢買金融股賺到 1 億,翁建原,金尉,2026/03/26,9786267549544,https://www.books.com.tw/products/0011046568,有電子書
