書名,作者,出版社,出版日期,ISBN,URL
納瓦爾寶典珍藏版：從白手起家到財務自由，矽谷傳奇創投家的投資哲學與人生智慧,修改,天下雜誌,2025/02/05,9789863989493,https://www.books.com.tw/products/0011012422
少年臺灣史 二○一九年增訂版,修改,玉山社,2019/09/20,9789862942420,https://www.books.com.tw/products/0010834309
鏈鋸人 (首刷限定版) 22,修改,東立,2026/02/06,9786260265595,https://www.books.com.tw/products/0011041755
日花閃爍：台語的美麗詞彙&一百首詩,修改,時報出版,2026/01/06,9786264199926,https://www.books.com.tw/products/0011039851
葬送的芙莉蓮 (特裝版) 15,修改,東立,2026/01/29,9786260267285,https://www.books.com.tw/products/0011041767
Gemini 3 x NotebookLM領軍：Nano Banana Pro x Veo x Whisk x Flow x Gem - Google 多模態 AI 工作流,修改,深智數位,2026/01/07,9786267757727,https://www.books.com.tw/products/0011041635
惡靈剋星 (首刷限定版) 6,修改,東立,2026/02/05,9786260263294,https://www.books.com.tw/products/0011042684
Rewire-神經可塑性：用神經科學突破行為模式迴圈，終結焦慮、恐慌和憂鬱，實現最佳的心理健康,修改,麥田,2024/06/01,9786263106659,https://www.books.com.tw/products/0010990062
特殊傳說III【2026珍藏特裝組】,修改,蓋亞,2026/02/11,4711099774364,https://www.books.com.tw/products/0011044492
最新！新制多益TOEIC聽力／閱讀題庫解析【博客來獨家套書】：最新收錄精準 10 回模擬試題！完整反映命題趨勢、大幅提升應考能力！（附2 MP3光碟＋音檔下載QR碼）,修改,國際學村,2024/07/24,4713375690993,https://www.books.com.tw/products/0010994781
SPY×FAMILY 間諜家家酒 (首刷限定版) 16,修改,東立,2026/02/12,9786260267070,https://www.books.com.tw/products/0011042311
主角模式：從「我得這樣」到「我可以選擇」，影響7500萬人的成長祕密,修改,金尉,2026/01/08,9786267549438,https://www.books.com.tw/products/0011038878
世界盡頭的咖啡館：這一生，我為何而存在？（全球每19秒售出1本！療癒千萬人的暢銷經典，定位人生的神奇之書）,修改,三采,2025/02/27,9786263585959,https://www.books.com.tw/products/0011014199
葬送的芙莉蓮 15,修改,東立,2026/01/29,9786260267278,https://www.books.com.tw/products/0011041766
鏈鋸人 22,修改,東立,2026/02/06,9786260261696,https://www.books.com.tw/products/0011041754
在小山和小山之間：故事大爆炸年度首獎之作,修改,悅知文化,2026/01/26,9786267721834,https://www.books.com.tw/products/0011042972
原子習慣：細微改變帶來巨大成就的實證法則,修改,方智,2019/06/01,9789861755267,https://www.books.com.tw/products/0010822522
請解開故事謎底【2026珍藏特裝組】,修改,魔豆文化,2026/02/11,4711099774371,https://www.books.com.tw/products/0011044493
蛤蟆先生去看心理師（暢銷300萬冊！英國心理諮商經典，附《蛤蟆先生勇氣藏書卡》組）,修改,三采,2022/01/26,9789576587399,https://www.books.com.tw/products/0010914794
難以承受的悸動是戀愛嗎？ 4,修改,台灣東販,2026/02/25,9786264373777,https://www.books.com.tw/products/0011045870
特殊傳說Ⅲ vol.11,修改,蓋亞,2026/02/04,9786263842762,https://www.books.com.tw/products/0011044230
明亮燦爛的你【讓比爾蓋茲深深感動的小說！】,修改,寂寞,2024/02/01,9786269754182,https://www.books.com.tw/products/0010980263
轉型正義之路：島嶼的過去與未來 二○二二年增訂版,修改,玉山社,2022/12/12,9789862943359,https://www.books.com.tw/products/0010944069
