書名,作者,原文作者,譯者,繪者,出版社,出版日期,ISBN,URL
鏈鋸人 (首刷限定版) 22,"藤本樹, 吳勵誠",,吳勵誠,,東立,2026/02/06,9786260265595,https://www.books.com.tw/products/0011041755
納瓦爾寶典珍藏版：從白手起家到財務自由，矽谷傳奇創投家的投資哲學與人生智慧,"艾瑞克．喬根森, 謝佩妏, 傑克．布徹(Jack Butcher)",Eric Jorgenson,Eric Jorgenson,Eric Jorgenson,天下雜誌,2025/02/05,9789863989493,https://www.books.com.tw/products/0011012422
日花閃爍：台語的美麗詞彙&一百首詩,温若喬,,,,時報出版,2026/01/06,9786264199926,https://www.books.com.tw/products/0011039851
少年臺灣史 二○一九年增訂版,"周婉窈, 許書寧",,,許書寧,玉山社,2019/09/20,9789862942420,https://www.books.com.tw/products/0010834309
惡靈剋星 (首刷限定版) 6,"新翔子, 羅筱君",,羅筱君,,東立,2026/02/05,9786260263294,https://www.books.com.tw/products/0011042684
葬送的芙莉蓮 (特裝版) 15,"山田 鐘人 (原作)／阿部 司 (作畫), 里歐貝萊",,里歐貝萊,,東立,2026/01/29,9786260267285,https://www.books.com.tw/products/0011041767
Gemini 3 x NotebookLM領軍：Nano Banana Pro x Veo x Whisk x Flow x Gem - Google 多模態 AI 工作流,洪錦魁,,,,深智數位,2026/01/07,9786267757727,https://www.books.com.tw/products/0011041635
特殊傳說III【2026珍藏特裝組】,"護玄, 紅麟",,,紅麟,蓋亞,2026/02/11,,https://www.books.com.tw/products/0011044492
特殊傳說Ⅲ vol.11,"護玄, 紅麟",,,紅麟,蓋亞,2026/02/04,9786263842762,https://www.books.com.tw/products/0011044230
Rewire-神經可塑性：用神經科學突破行為模式迴圈，終結焦慮、恐慌和憂鬱，實現最佳的心理健康,"妮可．維諾拉, 梁永安",Nicole Vignola,Nicole Vignola,,麥田,2024/06/01,9786263106659,https://www.books.com.tw/products/0010990062
"長濱To Be,or Not To Be Ⅱ (首刷限定版) 2","スカーレット・ベリ子, 蔡夢芳",,,,,,,https://www.books.com.tw/products/0011042079
難以承受的悸動是戀愛嗎? 3 首刷限定版,"空華みあ, 小春日和",,小春日和,,台灣東販,2026/02/04,,https://www.books.com.tw/products/0011042967
主角模式：從「我得這樣」到「我可以選擇」，影響7500萬人的成長祕密,樊登,樊登,,,金尉,2026/01/08,9786267549438,https://www.books.com.tw/products/0011038878
最新!新制多益TOEIC聽力/閱讀題庫解析【博客來獨家套書】：最新收錄精準 10 回模擬試題!完整反映命題趨勢、大幅提升應考能力!(附2 MP3光碟+音檔下載QR碼),Hackers Academia,,,,國際學村,2024/07/24,,https://www.books.com.tw/products/0010994781
紀律長贏：揭開清大校務基金操盤人風險控管與穩定獲利的策略,林哲群,,,,天下文化,2026/01/30,9786264177443,https://www.books.com.tw/products/0011042966
葬送的芙莉蓮 15,"山田 鐘人 (原作)／阿部 司 (作畫), 里歐貝萊",,里歐貝萊,,東立,2026/01/29,9786260267278,https://www.books.com.tw/products/0011041766
小書痴的下剋上 短篇集Ⅲ：為了成為圖書管理員不擇手段!,"香月美夜, 許金玉, 椎名優",,許金玉,許金玉,皇冠,2026/02/09,9789573343899,https://www.books.com.tw/products/0011045024
SPY×FAMILY 間諜家家酒 (首刷限定版) 16,"遠藤 達哉, 陳姿君",,陳姿君,,東立,2026/02/12,9786260267070,https://www.books.com.tw/products/0011042311
世界盡頭的咖啡館：這一生，我為何而存在?(全球每19秒售出1本!療癒千萬人的暢銷經典，定位人生的神奇之書),"約翰‧史崔勒基, Elsa",John Strelecky,John Strelecky,,三采,2025/02/27,9786263585959,https://www.books.com.tw/products/0011014199
意亂情迷處方箋 2 特別珍藏版,"秋久テオ, 朔小方",,,,,,,https://www.books.com.tw/products/0011042845
原子習慣：細微改變帶來巨大成就的實證法則,"詹姆斯‧克利爾, 蔡世偉",James Clear,James Clear,,方智,2019/06/01,9789861755267,https://www.books.com.tw/products/0010822522
請解開故事謎底 05,修改,,,PP,魔豆文化,2026/02/04,9786267542408,https://www.books.com.tw/products/0011044225
鏈鋸人 22,修改,,吳勵誠,,東立,2026/02/06,9786260261696,https://www.books.com.tw/products/0011041754
明亮燦爛的你【讓比爾蓋茲深深感動的小說！】,修改,Shelby Van Pelt,Shelby Van Pelt,Shelby Van Pelt,寂寞,2024/02/01,9786269754182,https://www.books.com.tw/products/0010980263
溫暖的力量，向光而行：走過時尚關鍵時刻,,,,,,,,https://www.books.com.tw/products/0011043248
小書痴的下剋上FANBOOK(9)：為了成為圖書管理員不擇手段！,修改,,,,皇冠,2026/02/09,9789573343882,https://www.books.com.tw/products/0011045032
十月堂舊書事2,"兒島青, 陳思朵",,陳思朵,,台灣角川,2026/02/04,9786264359238,https://www.books.com.tw/products/0011038578
平野與鍵浦 (5),"春園ショウ, 楊采儒",,楊采儒,,台灣角川,2026/02/05,9786264450003,https://www.books.com.tw/products/0011038483
蛤蟆先生去看心理師(暢銷300萬冊!英國心理諮商經典，附《蛤蟆先生勇氣藏書卡》組),"羅伯．狄保德, 張美惠, Dinner Illustration",Robert de Board,Robert de Board,Robert de Board,三采,2022/01/26,9789576587399,https://www.books.com.tw/products/0010914794
職安一點通|職業安全衛生管理乙級檢定完勝攻略|2026版(套書),蕭中剛、劉鈞傑、鄭技師、賴秋琴、徐英洲、江軍、葉日宏,,,,碁峰,2026/02/11,9786264252553,https://www.books.com.tw/products/0011044088
戀愛吧，假面天使! (首刷限定版) 5,"卯月coco, 曾怡華",,曾怡華,,東立,2026/02/06,9786260263058,https://www.books.com.tw/products/0011041763
請解開故事謎底【2026珍藏特裝組】,"花於景（雷雷夥伴）, PP",,,PP,魔豆文化,2026/02/11,,https://www.books.com.tw/products/0011044493
納瓦爾寶典：從白手起家到財務自由， 矽谷傳奇創投家的投資哲學與人生智慧,"艾瑞克．喬根森, 謝佩妏, 傑克．布徹(Jack Butcher)",Eric Jorgenson,Eric Jorgenson,Eric Jorgenson,天下雜誌,2024/01/04,9789863989493,https://www.books.com.tw/products/0010977461
國插週報大全【典藏版‧全五冊終極盒裝套書】超值贈「我真的要興奮死了」鑰匙圈+《國插週報》紀念報紙)：家事 × 職場 × 生活 × 怪事 × 感情,Cherng,,,,,,,https://www.books.com.tw/products/0011043230
轉型正義之路：島嶼的過去與未來 二○二二年增訂版,周婉窈,,,,玉山社,2022/12/12,9789862943359,https://www.books.com.tw/products/0010944069
臺灣歷史圖說,周婉窈,,,,聯經出版公司,2025/10/02,9789570878059,https://www.books.com.tw/products/0011033534
