書名,ISBN,URL
鏈鋸人 (首刷限定版) 22,9786260265595 ,https://www.books.com.tw/products/0011041755
納瓦爾寶典珍藏版：從白手起家到財務自由，矽谷傳奇創投家的投資哲學與人生智慧,9789863989493 ,https://www.books.com.tw/products/0011012422
日花閃爍：台語的美麗詞彙&一百首詩,9786264199926 ,https://www.books.com.tw/products/0011039851
少年臺灣史 二○一九年增訂版,9789862942420 ,https://www.books.com.tw/products/0010834309
惡靈剋星 (首刷限定版) 6,9786260263294 ,https://www.books.com.tw/products/0011042684
葬送的芙莉蓮 (特裝版) 15,9786260267285 ,https://www.books.com.tw/products/0011041767
Gemini 3 x NotebookLM領軍：Nano Banana Pro x Veo xc Whisk x Flow x Gem - Google 多模態 AI 工作流,9786267757727 ,https://www.books.com.tw/products/0011041635
特殊傳說III【2026珍藏特裝組】,,https://www.books.com.tw/products/0011044492
Rewire-神經可塑性：用神經科學突破行為模式迴圈，終結焦慮、恐慌和憂鬱，實現最佳的心理健康,9786263106659 ,https://www.books.com.tw/products/0010990062
特殊傳說Ⅲ vol.11,9786263842762 ,https://www.books.com.tw/products/0011044230
難以承受的悸動是戀愛嗎？ 3 首刷限定版,,https://www.books.com.tw/products/0011042967
"長濱To Be,or Not To Be Ⅱ (首刷限定版) 2",,https://www.books.com.tw/products/0011042079
主角模式：從「我得這樣」到「我可以選擇」，影響7500萬人的成長祕密,9786267549438 ,https://www.books.com.tw/products/0011038878
最新！新制多益TOEIC聽力／閱讀題庫解析【博客來獨家套書】：最新收錄精準 10 回模擬試題！完整反映命題趨勢、大幅提升應考能力！（附2 MP3光碟＋音檔下載QR碼）,,https://www.books.com.tw/products/0010994781
紀律長贏：揭開清大校務基金操盤人風險控管與穩定獲利的策略,9786264177443 ,https://www.books.com.tw/products/0011042966
SPY×FAMILY 間諜家家酒 (首刷限定版) 16,9786260267070 ,https://www.books.com.tw/products/0011042311
葬送的芙莉蓮 15,9786260267278 ,https://www.books.com.tw/products/0011041766
世界盡頭的咖啡館：這一生，我為何而存在？（全球每19秒售出1本！療癒千萬人的暢銷經典，定位人生的神奇之書）,9786263585959 ,https://www.books.com.tw/products/0011014199
意亂情迷處方箋 2 特別珍藏版,,https://www.books.com.tw/products/0011042845
原子習慣：細微改變帶來巨大成就的實證法則,9789861755267 ,https://www.books.com.tw/products/0010822522
請解開故事謎底 05,9786267542408 ,https://www.books.com.tw/products/0011044225
鏈鋸人 22,9786260261696 ,https://www.books.com.tw/products/0011041754
明亮燦爛的你【讓比爾蓋茲深深感動的小說！】,9786269754182 ,https://www.books.com.tw/products/0010980263
十月堂舊書事２,9786264359238 ,https://www.books.com.tw/products/0011038578
平野與鍵浦 (5),9786264450003 ,https://www.books.com.tw/products/0011038483
職安一點通｜職業安全衛生管理乙級檢定完勝攻略｜2026版(套書),9786264252553 ,https://www.books.com.tw/products/0011044088
蛤蟆先生去看心理師（暢銷300萬冊！英國心理諮商經典，附《蛤蟆先生勇氣藏書卡》組）,9789576587399 ,https://www.books.com.tw/products/0010914794
戀愛吧，假面天使！ (首刷限定版) 5,9786260263058 ,https://www.books.com.tw/products/0011041763
請解開故事謎底【2026珍藏特裝組】,,https://www.books.com.tw/products/0011044493
納瓦爾寶典：從白手起家到財務自由， 矽谷傳奇創投家的投資哲學與人生智慧,9789863989493 ,https://www.books.com.tw/products/0010977461
在小山和小山之間：故事大爆炸年度首獎之作,9786267721834 ,https://www.books.com.tw/products/0011042972
