書名,作者,出版社,出版日期,ISBN/EAN,product_id,商品網址,是否有電子書
北歐時間: 世界第一幸福國度教會我的事,"日暮Inko,いくらし いんこ,林美琪",幸福文化,2025-10-29,9786267680490,10012043902683019534001,https://www.eslite.com/product/10012043902683019534001,有
在小山和小山之間: 故事大爆炸年度首獎之作,李停,悅知文化,2026-01-26,9786267721834,10012122082683075462003,https://www.eslite.com/product/10012122082683075462003,有
"Rewire-神經可塑性: 用神經科學突破行為模式迴圈, 終結焦慮、恐慌和憂鬱, 實現最佳的心理健康","妮可．維諾拉,Nicole Vignola,梁永安",麥田出版社,2024-06-01,9786263106659,10012013192682577301001,https://www.eslite.com/product/10012013192682577301001,有
"99%的人輸在不會表達: 話說對了, 事就成了。公司裡該怎麼說話? 麻煩就沒了。",李勁,大是文化有限公司,2018-06-28,9789579164337,1001191562686239,https://www.eslite.com/product/1001191562686239,有
"納瓦爾寶典: 從白手起家到財務自由, 矽谷傳奇創投家的投資哲學與人生智慧 (附限量納瓦爾最新智慧語錄拉頁)","Jack Butcher,謝佩妏,Eric Jorgenson,傑克．布徹,艾瑞克．喬根森",天下雜誌股份有限公司,2025-02-05,4717211037577,10012030392682827161003,https://www.eslite.com/product/10012030392682827161003,沒有
"這僅有一次的人生, 一定要讀蘇東坡: 不管你遇到了什麼, 一句蘇東坡就能療癒。",費勇,大是文化有限公司,2023-01-30,9786267192870,1001191562682321418009,https://www.eslite.com/product/1001191562682321418009,有
別再騙自己: 把日子過得更清醒的101個提示,"Happieslin,七七,Simon Gilham,西蒙．吉勒姆",三采文化股份有限公司,2025-09-05,9786263587564,10012014082682972728007,https://www.eslite.com/product/10012014082682972728007,有
排球少年!! magazine 2 (首刷限定版),"古舘春一,蔡夢芳/ 里歐貝萊/ 羅筱君",東立出版社有限公司,2026-04-30,9786260269050,10012150962683109530005,https://www.eslite.com/product/10012150962683109530005,沒有
"全新! 新制多益TOEIC單字大全: 備考多益唯一推薦權威單字書! 不論題型如何變化, 內容持續更新, 常考字彙表達完全掌握, 準確度最高! (附QR碼)","許竹瑩/ 張育菁,David Cho,데이비드 조",國際學村出版社,2022-08-04,9789864542284,1001260442682214680001,https://www.eslite.com/product/1001260442682214680001,沒有
祕密中的祕密,"李建興,丹．布朗,Dan Brown",時報文化出版企業股份有限公司,2026-03-31,9786264443258,10012010632683104806006,https://www.eslite.com/product/10012010632683104806006,沒有
SAKAMOTO DAYS坂本日常 24 (首刷限定版),"陳姿君,鈴木祐斗",東立出版社有限公司,2026-03-02,9786260267087,10012150962683087745002,https://www.eslite.com/product/10012150962683087745002,沒有
皮克斯想像之書 (誠品獨家書衣元素方城市珍藏版),美國迪士尼公司,尖端出版,2025-06-27,4717702298692,10012116312682923480008,https://www.eslite.com/product/10012116312682923480008,沒有
"勇敢告別的人, 生活會獎勵一場新的開始",Peter Su,是日創意文化有限公司,2025-11-30,9786269256778,10012030392683039753000,https://www.eslite.com/product/10012030392683039753000,有
蛤蟆先生去看心理師 (附蛤蟆先生勇氣藏書卡組),"張美惠,羅伯．狄保德,Dinner Illustration,Robert de Board",三采文化股份有限公司,2022-01-26,9789576587399,1001119732682122365007,https://www.eslite.com/product/1001119732682122365007,有
"刪掉容易, 忘掉很難",林思齊,時報文化出版企業股份有限公司,2026-01-20,9786264441049,10012010632683071128002,https://www.eslite.com/product/10012010632683071128002,有
逐玉 第一部 上中下 (3冊合售),團子來襲,英屬維京群島商高寶國際有限公司台灣分公司,2025-09-24,9786264023566,10012017642682998193001,https://www.eslite.com/product/10012017642682998193001,沒有
日花閃爍: 台語的美麗詞彙&一百首詩,温若喬,時報文化出版企業股份有限公司,2026-01-06,9786264199926,10012010632683056251008,https://www.eslite.com/product/10012010632683056251008,有
"納瓦爾寶典: 從白手起家到財務自由, 矽谷傳奇創投家的投資哲學與人生智慧","謝佩妏,Eric Jorgenson,艾瑞克．喬根森",天下雜誌股份有限公司,2024-01-04,9789863989493,10012030392682502174007,https://www.eslite.com/product/10012030392682502174007,有
"世界盡頭的咖啡館: 這一生, 我為何而存在?","John Strelecky,Elsa,約翰．史崔勒基",三采文化股份有限公司,2025-02-27,9786263585959,10012014082682834236008,https://www.eslite.com/product/10012014082682834236008,有
原子習慣: 細微改變帶來巨大成就的實證法則,"蔡世偉,James Clear,詹姆斯．克利爾",方智出版社股份有限公司,2019-06-01,9789861755267,1001112702764163,https://www.eslite.com/product/1001112702764163,有
億元肥羊零成本買股術: 勝率100%! 我靠借錢買金融股賺到1億,翁建原,金尉股份有限公司,2026-03-26,9786267549544,10012011762683103933000,https://www.eslite.com/product/10012011762683103933000,有
