書名,ISBN13,URL
別再騙自己: 把日子過得更清醒的101個提示,,https://www.eslite.com/product/10012014082682972728007
"納瓦爾寶典: 從白手起家到財務自由, 矽谷傳奇創投家的投資哲學與人生智慧 (附限量納瓦爾最新智慧語錄拉頁)",,https://www.eslite.com/product/10012030392682827161003
日花閃爍: 台語的美麗詞彙&一百首詩,,https://www.eslite.com/product/10012010632683056251008
在小山和小山之間: 故事大爆炸年度首獎之作,,https://www.eslite.com/product/10012122082683075462003
"99%的人輸在不會表達: 話說對了, 事就成了。公司裡該怎麼說話? 麻煩就沒了。",,https://www.eslite.com/product/1001191562686239
"Rewire-神經可塑性: 用神經科學突破行為模式迴圈, 終結焦慮、恐慌和憂鬱, 實現最佳的心理健康",,https://www.eslite.com/product/10012013192682577301001
鏈鋸人 22 (首刷限定版),,https://www.eslite.com/product/10012150962683070404008
惡靈剋星 6 (首刷限定版),,https://www.eslite.com/product/10012150962683074431000
"全新! 新制多益TOEIC單字大全: 備考多益唯一推薦權威單字書! 不論題型如何變化, 內容持續更新, 常考字彙表達完全掌握, 準確度最高! (附QR碼)",,https://www.eslite.com/product/1001260442682214680001
"刪掉容易, 忘掉很難",,https://www.eslite.com/product/10012010632683071128002
"這僅有一次的人生, 一定要讀蘇東坡: 不管你遇到了什麼, 一句蘇東坡就能療癒。",,https://www.eslite.com/product/1001191562682321418009
"納瓦爾寶典: 從白手起家到財務自由, 矽谷傳奇創投家的投資哲學與人生智慧",,https://www.eslite.com/product/10012030392682502174007
王思迅人生講座套書: 易經白話講座+金剛經白話講座 (2冊合售),,https://www.eslite.com/product/10012117772682988580002
少年臺灣史 (2019年增訂版),,https://www.eslite.com/product/1003119012795098
原子習慣: 細微改變帶來巨大成就的實證法則,,https://www.eslite.com/product/1001112702764163
紀律長贏: 揭開清大校務基金操盤人風險控管與穩定獲利的策略,,https://www.eslite.com/product/10012030542683076169000
海邊的房間,,https://www.eslite.com/product/10012010632682600065009
擁有過 就好: 告別青春的最後一封情書,,https://www.eslite.com/product/10012014082683030027001
"世界盡頭的咖啡館: 這一生, 我為何而存在?",,https://www.eslite.com/product/10012014082682834236008
"從破產人生逆襲到財務自由: 你一定要懂的財商真相, 36個翻轉心法把人生找回來",,https://www.eslite.com/product/10012010632683083731009
擁有過 就好: 告別青春的最後一封情書 (限量親簽版),,https://www.eslite.com/product/10012014082683030028008
蛤蟆先生去看心理師 (附蛤蟆先生勇氣藏書卡組),,https://www.eslite.com/product/1001119732682122365007
窮查理的普通常識: 巴菲特50年智慧合夥人查理．蒙格的人生哲學 (紀念典藏版),,https://www.eslite.com/product/10012172932682559368008
SPY X FAMILY間諜家家酒 16 (首刷限定版),,https://www.eslite.com/product/10012150962683072484008
"勇敢告別的人, 生活會獎勵一場新的開始",,https://www.eslite.com/product/10012030392683039753000
國插週報大全 全五冊終極盒裝套書: 家事×職場×生活×怪事×感情 (典藏版/超值贈我真的要興奮死了鑰匙圈+國插週報紀念報紙/5冊合售),,https://www.eslite.com/product/10012010632683078556006
請解開故事謎底 5 (2026珍愛特裝組),,https://www.eslite.com/product/10012084862683085270001
金剛經白話講座: 放下的人生修行,,https://www.eslite.com/product/10012117772682949728009
我可能錯了: 森林智者的最後一堂人生課,,https://www.eslite.com/product/1001124182682324108006
請解開故事謎底 5,,https://www.eslite.com/product/10012046692683085141004
"持續買進: 資料科學家的投資終極解答, 存錢及致富的實證方法",,https://www.eslite.com/product/1001247312682383434009
學校不會教的人生課: 怡慧老師的實踐成長學 (誠品獨家書衣親簽版),,https://www.eslite.com/product/10012020052683094668004
"最新! 新制TOEIC多益閱讀題庫解析: 最新收錄精準10回模擬試題! 每月進場實測分析、完整傳授答題技巧, 黃金證書手到擒來! (附單字音檔下載QRCode/2冊合售)",,https://www.eslite.com/product/10012016082682596274003
喔! 原來我們都痛裡學會了愛,,https://www.eslite.com/product/10012030392683078702007
"看穿內心情緒的行為暗示心理學: 頂尖心理學家證實, 99%人能看透的50招讀心術",,https://www.eslite.com/product/1001183572666954
葬送的芙莉蓮 15,,https://www.eslite.com/product/10012150962683070415004
惡靈剋星 5 (首刷限定版),,https://www.eslite.com/product/10012150962683048461002
把日子慢慢變好,,https://www.eslite.com/product/10012014082682657441009
寫進時間的故事 (限量親簽版/附首刷寫時明信片/隨機出貨),,https://www.eslite.com/product/10012010042683087733009
張忠謀自傳全集 上下冊 (2冊合售),,https://www.eslite.com/product/10012030542682732135007
SAKAMOTO DAYS坂本日常 24 (首刷限定版),,https://www.eslite.com/product/10012150962683087745002
"戀愛吧, 假面天使! 5 (首刷限定版)",,https://www.eslite.com/product/10012150962683070412003
特殊傳說 III 11 (2026珍愛特裝組),,https://www.eslite.com/product/10012084862683085265007
臺灣歷史圖說,,https://www.eslite.com/product/10012010042683011783001
職安一點通: 職業安全衛生管理乙級檢定完勝攻略 (2026版/2冊合售),,https://www.eslite.com/product/10012011762683089019002
"世界上最神奇的24堂課: 全世界唯一一本, 因為揭露致富秘訣而被查禁的書!",,https://www.eslite.com/product/10012016082682399394007
"財富自由心理學: 療癒金錢焦慮, 修練致富心態 (附限量三步驟財富自由實戰計畫)",,https://www.eslite.com/product/10012030542683079404009
底層邏輯: 看清這個世界的底牌,,https://www.eslite.com/product/1001110932682144182002
十月堂舊書事 2,,https://www.eslite.com/product/10012011762683064047006
"富爸爸, 窮爸爸 (25週年紀念版)",,https://www.eslite.com/product/1001123032682251788005
長期買進: 財金教授周冠男的42堂自制力投資課,,https://www.eslite.com/product/10012030542682614097003
"讓上司挺你、朋友懂你, 跟誰都能聊不停的回話技術: 談判、責罵、提案、請託, 40個讓人欲罷不能、拍手叫好的臨場說話術",,https://www.eslite.com/product/1001251382367480
被討厭的勇氣: 自我啟發之父阿德勒的教導,,https://www.eslite.com/product/1001136022367152
"主角模式: 從我得這樣到我可以選擇, 影響7500萬人的成長祕密",,https://www.eslite.com/product/10012011762683051712009
財商: 不費力才會贏 (作者親簽版),,https://www.eslite.com/product/10012010632683071138001
"最新! 新制多益TOEIC聽力題庫解析: 最新收錄精準10回模擬試題!完整反映命題趨勢、大幅提升應考能力, 黃金證書手到擒來! (附2MP3/模擬試題/單題分割/單字記憶3種版本/QRCode)",,https://www.eslite.com/product/10012016082682595339000
非暴力溝通: 愛的語言 (全新修訂版),,https://www.eslite.com/product/1001111072787487
絕叫: 日本推理四大獎、現象級小說經典復活!,,https://www.eslite.com/product/10012036172683041432009
地。關於地球的運動 1-8 (豪華盒裝版/8冊合售),,https://www.eslite.com/product/10012116312683082645000
排球少年!! REMIX版 2 (首刷附錄版),,https://www.eslite.com/product/10012150962683070405005
SAKAMOTO DAYS坂本日常 23 (首刷限定版),,https://www.eslite.com/product/10012150962683074437002
人際關係的思維槓桿: 打造深刻連結的26個支點,,https://www.eslite.com/product/10012030542683079398001
"小鳥與理夢人: 本屋大賞作家小川糸全新挑戰, 猶如護身符般的感淚之作! (限量作者親簽版)",,https://www.eslite.com/product/10012122082683078266004
日本語GOGOGO 1 (增訂版),,https://www.eslite.com/product/1001129492682062072003
致富心態: 關於財富、貪婪與幸福的20堂理財課 (全球暢銷千萬增訂版),,https://www.eslite.com/product/10012030542683083746003
在小山和小山之間: 故事大爆炸年度首獎之作 (限量作者親簽版),,https://www.eslite.com/product/10012122082683075463000
冠軍之路: 2024世界棒球12強賽感動全紀錄聯名電影書 (附首刷熱血應援透卡組),,https://www.eslite.com/product/10012010302683075187005
人間失格 (典藏版),,https://www.eslite.com/product/1001180772673998
難以承受的悸動是戀愛嗎? 3 (首刷限定版),,https://www.eslite.com/product/10012011762683068655009
簡明台灣人四百年史 (圖文精華版),,https://www.eslite.com/product/1001116222632167
特殊傳說 III 11,,https://www.eslite.com/product/10012046692683084091003
"做自己的太陽, 去看你想看的星星和月亮",,https://www.eslite.com/product/10012020052683042320008
摘柿記,,https://www.eslite.com/product/10012043902682910506001
"人生只有兩件事, 關你屁事和關我屁事 (暢銷典藏改版)",,https://www.eslite.com/product/10012017642683016249007
惡靈剋星 2 (首刷限定版),,https://www.eslite.com/product/10012150962682854045000
進烤箱的好日子,,https://www.eslite.com/product/10012030392682598702009
轉型正義之路: 島嶼的過去與未來 (2022年增訂版),,https://www.eslite.com/product/1001119012682312080000
"活用技術分析寶典: 飆股上校朱家泓40年實戰精華, 從K線、均線到交易高手的養成祕笈 上、下冊 (2冊合售)",,https://www.eslite.com/product/10012011762682664727004
葬送的芙莉蓮公式漫迷手冊 (全),,https://www.eslite.com/product/10012150962683055287008
傲慢與偏見 (200週年紀念版),,https://www.eslite.com/product/1001180772448113
葬送的芙莉蓮 13,,https://www.eslite.com/product/10012150962682602544007
"抄寫英語的奇蹟: 1天10分鐘, 英語和人生都起飛",,https://www.eslite.com/product/10012036172682524841000
SPY X FAMILY間諜家家酒 16,,https://www.eslite.com/product/10012150962683072483001
"長女病: 我們不是天生愛扛責任, 台灣跨世代女兒的故事",,https://www.eslite.com/product/10012012142682855570006
矛盾,,https://www.eslite.com/product/10012122452683065209007
惡靈剋星 4 (首刷限定版),,https://www.eslite.com/product/10012150962682922950007
"自學日語: 看完這本就能說! 專為華人設計的日語教材, 50音+筆順+單字+文法+會話一次學會! (附QR碼線上音檔/真人發音教學影片)",,https://www.eslite.com/product/1001271692681949005004
解答之書: 專屬於你的人生答案,,https://www.eslite.com/product/1001119732726161
小書痴的下剋上Fanbook 9: 為了成為圖書管理員不擇手段!,,https://www.eslite.com/product/10012020052683090183006
活出你的本來面目: 獻給現代人的榮格心靈指南,,https://www.eslite.com/product/10012014082683016621001
與成功有約: 高效能人士的七個習慣 (30週年全新增訂版),,https://www.eslite.com/product/1001122732681932627008
葬送的芙莉蓮 9,,https://www.eslite.com/product/1001129222682307118008
葬送的芙莉蓮 1,,https://www.eslite.com/product/1001129222682007204001
小書痴的下剋上: 為了成為圖書管理員不擇手段! 短篇集 III,,https://www.eslite.com/product/10012020052683090181002
"我畢業五年, 用ETF賺到400萬: 每月1, 000元就能開始! 不用兼差斜槓, 兩檔ETF投資組合, 年賺20%以上",,https://www.eslite.com/product/1001191562813505
"想哭就哭吧, 你不需要那麼懂事",,https://www.eslite.com/product/10012030392682819740001
"別對每件事都有反應: 淡泊一點也無妨, 活出快意人生的99個禪練習! (限量暢銷特典版)",,https://www.eslite.com/product/10012122082682804863005
日本語GOGOGO 1 練習帳 (增訂版),,https://www.eslite.com/product/1001129492682150083003
區判: 品味與美學的知識漫畫,,https://www.eslite.com/product/10012043902682810475001
葬送的芙莉蓮 2,,https://www.eslite.com/product/1001129222682033556006
